";""Run"";""conc"";""density""",,
"1;""1"";0",04882812;0,17
"2;""1"";0",04882812;0,18
"3;""1"";0",1953125;0,121
"4;""1"";0",1953125;0,124
"5;""1"";0",390625;0,206
"6;""1"";0",390625;0,215
"7;""1"";0",78125;0,377
"8;""1"";0",78125;0,374
"9;""1"";1",5625;0,614
"10;""1"";1",5625;0,609
"11;""1"";3",125;1,19
"12;""1"";3",125;1,1
"13;""1"";6",25;1,334
"14;""1"";6",25;1,364
"15;""1"";12",5;1,73
"16;""1"";12",5;1,71
"17;""2"";0",04882812;0,45
"18;""2"";0",04882812;0,5
"19;""2"";0",1953125;0,137
"20;""2"";0",1953125;0,123
"21;""2"";0",390625;0,225
"22;""2"";0",390625;0,207
"23;""2"";0",78125;0,401
"24;""2"";0",78125;0,383
"25;""2"";1",5625;0,672
"26;""2"";1",5625;0,681
"27;""2"";3",125;1,116
"28;""2"";3",125;1,78
"29;""2"";6",25;1,554
"30;""2"";6",25;1,526
"31;""2"";12",5;1,932
"32;""2"";12",5;1,914
"33;""3"";0",04882812;0,7
"34;""3"";0",04882812;0,68
"35;""3"";0",1953125;0,173
"36;""3"";0",1953125;0,165
"37;""3"";0",390625;0,277
"38;""3"";0",390625;0,248
"39;""3"";0",78125;0,434
"40;""3"";0",78125;0,426
"41;""3"";1",5625;0,703
"42;""3"";1",5625;0,689
"43;""3"";3",125;1,67
"44;""3"";3",125;1,77
"45;""3"";6",25;1,629
"46;""3"";6",25;1,479
"47;""3"";12",5;2,3
"48;""3"";12",5;1,884
"49;""4"";0",04882812;0,11
"50;""4"";0",04882812;0,16
"51;""4"";0",1953125;0,118
"52;""4"";0",1953125;0,108
"53;""4"";0",390625;0,2
"54;""4"";0",390625;0,206
"55;""4"";0",78125;0,364
"56;""4"";0",78125;0,36
"57;""4"";1",5625;0,62
"58;""4"";1",5625;0,64
"59;""4"";3",125;0,979
"60;""4"";3",125;0,973
"61;""4"";6",25;1,424
"62;""4"";6",25;1,399
"63;""4"";12",5;1,74
"64;""4"";12",5;1,732
"65;""5"";0",04882812;0,35
"66;""5"";0",04882812;0,35
"67;""5"";0",1953125;0,132
"68;""5"";0",1953125;0,135
"69;""5"";0",390625;0,224
"70;""5"";0",390625;0,22
"71;""5"";0",78125;0,385
"72;""5"";0",78125;0,39
"73;""5"";1",5625;0,658
"74;""5"";1",5625;0,647
"75;""5"";3",125;1,6
"76;""5"";3",125;1,31
"77;""5"";6",25;1,425
"78;""5"";6",25;1,409
"79;""5"";12",5;1,75
"80;""5"";12",5;1,738
"81;""6"";0",04882812;0,86
"82;""6"";0",04882812;0,103
"83;""6"";0",1953125;0,191
"84;""6"";0",1953125;0,189
"85;""6"";0",390625;0,272
"86;""6"";0",390625;0,277
"87;""6"";0",78125;0,44
"88;""6"";0",78125;0,426
"89;""6"";1",5625;0,686
"90;""6"";1",5625;0,676
"91;""6"";3",125;1,62
"92;""6"";3",125;1,72
"93;""6"";6",25;1,424
"94;""6"";6",25;1,459
"95;""6"";12",5;1,768
"96;""6"";12",5;1,806
"97;""7"";0",04882812;0,94
"98;""7"";0",04882812;0,92
"99;""7"";0",1953125;0,182
"100;""7"";0",1953125;0,182
"101;""7"";0",390625;0,282
"102;""7"";0",390625;0,273
"103;""7"";0",78125;0,444
"104;""7"";0",78125;0,439
"105;""7"";1",5625;0,686
"106;""7"";1",5625;0,668
"107;""7"";3",125;1,52
"108;""7"";3",125;1,35
"109;""7"";6",25;1,409
"110;""7"";6",25;1,392
"111;""7"";12",5;1,759
"112;""7"";12",5;1,739
"113;""8"";0",04882812;0,54
"114;""8"";0",04882812;0,54
"115;""8"";0",1953125;0,152
"116;""8"";0",1953125;0,148
"117;""8"";0",390625;0,226
"118;""8"";0",390625;0,222
"119;""8"";0",78125;0,392
"120;""8"";0",78125;0,383
"121;""8"";1",5625;0,658
"122;""8"";1",5625;0,644
"123;""8"";3",125;1,43
"124;""8"";3",125;1,2
"125;""8"";6",25;1,466
"126;""8"";6",25;1,381
"127;""8"";12",5;1,743
"128;""8"";12",5;1,724
"129;""9"";0",04882812;0,32
"130;""9"";0",04882812;0,43
"131;""9"";0",1953125;0,142
"132;""9"";0",1953125;0,155
"133;""9"";0",390625;0,239
"134;""9"";0",390625;0,242
"135;""9"";0",78125;0,42
"136;""9"";0",78125;0,395
"137;""9"";1",5625;0,624
"138;""9"";1",5625;0,705
"139;""9"";3",125;1,46
"140;""9"";3",125;1,26
"141;""9"";6",25;1,398
"142;""9"";6",25;1,405
"143;""9"";12",5;1,693
"144;""9"";12",5;1,729
"145;""10"";0",04882812;0,52
"146;""10"";0",04882812;0,94
"147;""10"";0",1953125;0,164
"148;""10"";0",1953125;0,166
"149;""10"";0",390625;0,259
"150;""10"";0",390625;0,256
"151;""10"";0",78125;0,439
"152;""10"";0",78125;0,439
"153;""10"";1",5625;0,69
"154;""10"";1",5625;0,701
"155;""10"";3",125;1,42
"156;""10"";3",125;1,75
"157;""10"";6",25;1,34
"158;""10"";6",25;1,406
"159;""10"";12",5;1,699
"160;""10"";12",5;1,708
"161;""11"";0",04882812;0,47
"162;""11"";0",04882812;0,57
"163;""11"";0",1953125;0,159
"164;""11"";0",1953125;0,155
"165;""11"";0",390625;0,246
"166;""11"";0",390625;0,252
"167;""11"";0",78125;0,427
"168;""11"";0",78125;0,411
"169;""11"";1",5625;0,704
"170;""11"";1",5625;0,684
"171;""11"";3",125;0,994
"172;""11"";3",125;0,98
"173;""11"";6",25;1,421
"174;""11"";6",25;1,385
"175;""11"";12",5;1,715
"176;""11"";12",5;1,721
